date,from,text
2/6/2011,teachermedeiros,rt @profesortbaker: #eltchat: pronunciation dreams #cck11 http://wp.me/pdhw0-jn
2/6/2011,laflacaenperu,english now belongs to the world you're right! rt @profesortbaker #eltchat: pronunciation dreams #cck11 http://nblo.gs/dwwfg
2/6/2011,eltexperiences,rt @vickyloras: rt @shellterrell  via @profesortbaker #eltchat: pronunciation dreams #cck11 http://bit.ly/hzt7dx #edchat
2/6/2011,cybraryman1,@profesortbaker thank you.  i added your #eltchat: pronunciation dreams to my pronunciation page: http://bit.ly/dpzttj #cck11
2/6/2011,cybraryman1,rt @vickyloras: rt @shellterrell  via @profesortbaker #eltchat: pronunciation dreams #cck11 http://bit.ly/hzt7dx #edchat
2/6/2011,tore,interesting controversy today on connectivism &amp; how it is described in wikipedia via @downes  http://bit.ly/h7snkn
2/6/2011,vickyloras,rt @shellterrell  via @profesortbaker #eltchat: pronunciation dreams #cck11 http://bit.ly/hzt7dx #edchat
2/6/2011,laborteacher,#eltchat: pronunciation dreams #cck11 http://networkedblogs.com/dwwfg
2/6/2011,yohimar,rt @shellterrell via @profesortbaker  #eltchat: pronunciation dreams #cck11 http://bit.ly/hzt7dx #edchat
2/6/2011,profesorbaker,#eltchat: pronunciation dreams #cck11 http://nblo.gs/dwwfg
2/6/2011,veritasvino,i really like tim kastelle's take on siemens &amp; downes cck11 connectivism course - http://bit.ly/epjn3l
2/6/2011,maryakem,@davecormier r connectivism haters the carthusians of today?  #itsallgood #discuss
2/6/2011,saadat_m,"now in co11: how to introduce oet resources, open source tools and cc licensed learning objects in ....http://bit.ly/dqguha , #cck11, #lak11"
2/6/2011,creativeducator,rt @davecormier: turns out that the connectivism hater is an ex-student of @gsiemens and @downes http://bit.ly/fca4iu see my comments at end of page
2/6/2011,davecormier,turns out that the connectivism hater is an ex-student of @gsiemens and @downes http://bit.ly/fca4iu see my comments at end of page
2/6/2011,jaapsoft,presentation software and thinking  #cck11  blogpost on a facebook discussion http://bit.ly/fixoun
2/6/2011,daisygrisolia,@chamady  #cck11 about wikipedia and connectivism - this is a personal disagreement or a theoretical discussion? http://bit.ly/h7snkn
2/8/2011,jaapsoft,"http://bit.ly/hh9ejd  training, exercising, learning, connecting #cck11 training not for pigeons"
2/8/2011,wendytagg,"rt @mattiaskareld: mentionmap, an interesting tool to visualize your twitter connections: http://bit.ly/3judqg  #cck11"
2/8/2011,jaapsoft,"@jennieteacher training is  practising playing a music instrument, #cck11"
2/8/2011,cck11feeds,"let it be known that @davecormier saved connectivism (or, at least, so he says). #cck11: let it be known that @d... http://bit.ly/grpx0l"
2/8/2011,cck11feeds,"i cannot teach anyone, all i can do is make them think - socrates  #eadsunday #inovareduca #cck11: i cannot teac... http://bit.ly/hw1c4n"
2/8/2011,cck11feeds,"i cannot teach anyone, all i can do is make them think - socrates  #eadsunday #inovareduca #cck11: i cannot teac... http://bit.ly/e65jms"
2/8/2011,cck11feeds,rt @zaidlearn: connectivism &amp; connective knowledge in action! (updated) http://bit.ly/esaa7a #cck11 james morris... http://bit.ly/fr89qw
2/8/2011,hamtra,rt @widged: nice collection of links. rt @gordon_l tagged some wikipedia articles for wk4 readings; http://www.delicious.com/gbl/cck11
2/8/2011,gsiemens,"@davecormier @schwier heh. dave u own connectivism now. get ready for ""it's not a theory"" comments"
2/8/2011,gsiemens,"let it be known that @davecormier saved connectivism (or, at least, so he says). #cck11"
2/8/2011,daisygrisolia,"i cannot teach anyone, all i can do is make them think - socrates  #eadsunday #inovareduca #cck11"
2/8/2011,nexpeople,"i cannot teach anyone, all i can do is make them think - socrates  #eadsunday #inovareduca #cck11"
2/8/2011,daisygrisolia,check out this slideshare presentation : new pedagogies for the digital age http://slidesha.re/clr7mr #inovareduca #eadsunday #cck11
