Position,Parties,Buts,Aides,Points,+/-,Minutes de punition,Tirs au but,Buts vainqueurs,Buts AN,Aides AN,Mises en échec,Tirs blockés
D,43,5,21,26,-1,28,92,0,0,3,60,56
C,78,5,8,13,-1,17,71,0,0,0,87,44
AD,57,5,8,13,-7,18,77,0,1,1,50,19
D,82,5,20,25,-9,16,104,0,0,2,67,208
C,68,5,13,18,-6,8,102,0,0,0,126,17
D,48,5,13,18,7,4,81,2,1,3,24,30
D,80,5,28,33,18,12,116,2,1,4,87,83
D,53,5,15,20,-12,28,117,0,3,5,74,77
D,46,5,18,23,-10,30,73,0,1,4,66,32
AG,15,5,1,6,-4,6,26,1,0,1,38,3
D,80,5,16,21,3,6,99,1,0,0,80,61
AG,36,5,9,14,-7,10,48,1,3,1,18,24
C,56,5,7,12,-8,18,55,1,0,2,48,15
AG,51,5,8,13,-14,31,49,0,0,1,48,15
D,58,5,11,16,25,58,107,1,1,0,198,79
C,32,4,9,13,8,2,25,0,2,4,4,12
D,30,4,8,12,3,6,36,1,0,3,11,31
AD,46,4,5,9,-14,16,53,0,0,1,46,26
AD,34,4,3,7,-7,6,49,1,0,0,42,11
D,82,4,23,27,8,6,116,0,0,9,65,90
AD,63,4,15,19,-6,14,72,0,0,0,39,30
D,64,4,13,17,-5,22,98,0,0,0,100,57
AD,44,4,3,7,-5,2,52,1,0,0,63,8
C,23,4,2,6,0,8,29,1,0,0,21,12
D,64,4,11,15,-3,64,79,2,0,1,127,103
D,61,4,26,30,6,77,111,0,0,10,54,82
D,42,4,27,31,4,69,115,1,1,15,77,51
D,74,4,19,23,4,34,113,0,0,0,96,62
D,62,4,12,16,6,12,75,0,0,0,151,108
D,63,4,9,13,-7,71,66,0,0,0,100,48
AG,19,4,3,7,-5,6,23,1,1,0,34,3
C,26,4,2,6,-12,6,43,0,1,0,33,13
AG,52,4,5,9,5,18,57,0,0,0,105,30
D,82,4,22,26,0,18,116,0,0,10,77,89
D,61,4,9,13,0,26,97,1,2,1,77,76
D,60,4,14,18,-2,8,78,2,0,2,78,135
C,74,4,8,12,-2,30,74,2,0,0,51,34
D,77,4,16,20,6,63,136,0,0,0,255,133
AD,54,4,4,8,-6,15,60,0,0,0,78,36
C,43,4,6,10,-4,8,34,1,0,0,33,18
D,59,4,10,14,-4,35,64,0,0,0,103,99
AG,20,4,2,6,3,6,30,1,1,0,5,7
D,78,4,26,30,-17,18,108,1,1,13,38,74
AG,34,4,4,8,0,20,36,0,0,0,45,10
D,79,4,15,19,18,68,104,0,0,0,118,159
AD,53,4,2,6,-7,57,57,2,1,0,126,13
AD,50,4,7,11,-2,4,84,1,0,1,57,7
AG,64,4,19,23,2,8,86,1,0,0,50,26
C,39,4,8,12,-12,14,83,0,0,0,63,38
C,47,4,2,6,-5,10,43,0,0,0,69,20
D,77,4,18,22,-1,32,109,0,0,3,121,130
D,57,4,8,12,5,45,55,0,0,0,135,59
D,82,4,14,18,-15,30,111,2,0,1,61,135
D,50,4,13,17,-17,22,107,0,3,2,68,77
AD,36,4,5,9,1,10,30,0,0,0,48,41
D,81,4,12,16,11,52,84,1,0,0,200,139
D,54,4,7,11,2,14,86,0,0,2,19,58
C,56,4,10,14,-6,14,74,1,0,0,92,29
D,82,3,26,29,3,33,101,0,0,1,137,103
C,21,3,2,5,-4,2,19,0,0,0,19,9
D,82,3,17,20,-28,44,117,0,0,0,256,128
